TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES
INSTOCKSALE Antique White Cascading Pearl Brooch Bouquet,"Graceful simplicity. Cascading pearl brooch. Large antique white hand-rolled and stemmed roses. Elegance at its understated best. Sixteen large antique white roses and one large beautiful pearl brooch cascading with rhinestones make this bouquet a simple, memorable statement. Not suitable for tossing! Ready -to-ship.

Customize to your wedding needs. See Shop Policies. Message Elegance On The Avenue for more information.",48,USD,1,"Weddings,Bouquet,white_bouquet,white_wedding,bridal_bouquet,white_bridal_bouquet,antique_white,wedding,wedding_party,brooch_bouquet,EleganceOnTheAvenue,simple_bouquet,rose_bouquet,rose,handmade_bouquet","satin,brooch",https://img1.etsystatic.com/013/0/7028242/il_fullxfull.453666057_bko1.jpg,https://img1.etsystatic.com/009/0/7028242/il_fullxfull.451701201_6zf3.jpg,https://img0.etsystatic.com/015/0/7028242/il_fullxfull.451697148_fjg3.jpg,https://img2.etsystatic.com/012/0/7028242/il_fullxfull.451697382_owdg.jpg,https://img3.etsystatic.com/010/0/7028242/il_fullxfull.451702291_ilxp.jpg,,,,,,
Black & Champagne Crystal Satin Bling Bridal Bouquet,"Exquisitely elegant champagne and black satin rose bouquet. Over 100 champagne crystals, glass bugle beads, rhinestones, and one  large topaz brooch sit atop the champagne roses, girded by the black taffeta and satin roses.  Each rose was hand rolled and stitched; each crystal, bugle bead, and embellishment was hand wired, assembled, and attached.  Seven and a half inches in diameter; ten inches tall. The handle is clad in black, then wrapped in sheer black ribbon, studded with black studs. Truly an heirloom piece; this bouquet glows. Not suitable for tossing. 

Customize to your wedding needs.  See shop polices. Message Elegance On The Avenue for more information.",265,USD,1,"Weddings,Bouquet,bouquet,bridal_bouquet,wedding_bouquet,black_bouquet,champagne_bouquet,rose_bouquet,EleganceOnTheAvenue,brooch_bouquet,bridal_party,wedding,bride,crystal_bouquet,bridesmaid","satin,taffeta,brooch,crystals,glass bugle beads",https://img1.etsystatic.com/011/0/7028242/il_fullxfull.421267045_az6k.jpg,https://img0.etsystatic.com/013/0/7028242/il_fullxfull.422135256_nea6.jpg,https://img1.etsystatic.com/013/0/7028242/il_fullxfull.422138105_9a3l.jpg,https://img0.etsystatic.com/013/0/7028242/il_fullxfull.422135784_z9tz.jpg,https://img2.etsystatic.com/016/0/7028242/il_fullxfull.422135934_az4w.jpg,,,,,,
INSTOCKSALE Champagne & Diamonds Satin Rose Brooch Bridal Bouquet,"Two of our favorite items - champagne and diamonds! Elegant and unusual, this simple champagne satin bouquet is truly unique. Skirted with organza and tulle, the large double face luxe satin champagne roses are embellished with one exquisite extra large rhinestone brooch. Very elegant. The handle is swathed in satin and studded with white pearls. You won't want to toss this bouquet! Please don't! Ask about a matching tossing bouquet and bout for your future husband. Ready to ship. 

See Shop Policies. Message Elegance On The Avenue for more information.",100,USD,1,"Weddings,Bouquet,bouquet,wedding_bouquet,bridal_bouquet,brooch_bouquet,champagne_bouquet,wedding,bridal_party,wedding_party,satin_rose,satin_rose_bouquet,bride,EleganceOnTheAvenue,weddings","brooch,tulle,organza,satin",https://img2.etsystatic.com/014/0/7028242/il_fullxfull.453659258_ilx1.jpg,https://img2.etsystatic.com/016/0/7028242/il_fullxfull.425761662_a5j4.jpg,https://img2.etsystatic.com/016/0/7028242/il_fullxfull.425761758_1w6q.jpg,https://img0.etsystatic.com/015/0/7028242/il_fullxfull.425761932_y69a.jpg,https://img0.etsystatic.com/011/0/7028242/il_fullxfull.425762580_2hbf.jpg,,,,,,
INSTOCKSALE Antique White Cascading Pearl Brooch Bouquet,"Graceful simplicity. Cascading pearl brooch. Large antique white hand-rolled and stemmed roses. Elegance at its understated best. Sixteen large antique white roses and one large beautiful pearl brooch cascading with rhinestones make this bouquet a simple, memorable statement. Not suitable for tossing! Ready -to-ship.

Customize to your wedding needs. See Shop Policies. Message Elegance On The Avenue for more information.",48,USD,1,"Weddings,Bouquet,white_bouquet,white_wedding,bridal_bouquet,white_bridal_bouquet,antique_white,wedding,wedding_party,brooch_bouquet,EleganceOnTheAvenue,simple_bouquet,rose_bouquet,rose,handmade_bouquet","satin,brooch",https://img1.etsystatic.com/013/0/7028242/il_fullxfull.453666057_bko1.jpg,https://img1.etsystatic.com/009/0/7028242/il_fullxfull.451701201_6zf3.jpg,https://img0.etsystatic.com/015/0/7028242/il_fullxfull.451697148_fjg3.jpg,https://img2.etsystatic.com/012/0/7028242/il_fullxfull.451697382_owdg.jpg,https://img3.etsystatic.com/010/0/7028242/il_fullxfull.451702291_ilxp.jpg,,,,,,
Black & Champagne Crystal Satin Bling Bridal Bouquet,"Exquisitely elegant champagne and black satin rose bouquet. Over 100 champagne crystals, glass bugle beads, rhinestones, and one  large topaz brooch sit atop the champagne roses, girded by the black taffeta and satin roses.  Each rose was hand rolled and stitched; each crystal, bugle bead, and embellishment was hand wired, assembled, and attached.  Seven and a half inches in diameter; ten inches tall. The handle is clad in black, then wrapped in sheer black ribbon, studded with black studs. Truly an heirloom piece; this bouquet glows. Not suitable for tossing. 

Customize to your wedding needs.  See shop polices. Message Elegance On The Avenue for more information.",265,USD,1,"Weddings,Bouquet,bouquet,bridal_bouquet,wedding_bouquet,black_bouquet,champagne_bouquet,rose_bouquet,EleganceOnTheAvenue,brooch_bouquet,bridal_party,wedding,bride,crystal_bouquet,bridesmaid","satin,taffeta,brooch,crystals,glass bugle beads",https://img1.etsystatic.com/011/0/7028242/il_fullxfull.421267045_az6k.jpg,https://img0.etsystatic.com/013/0/7028242/il_fullxfull.422135256_nea6.jpg,https://img1.etsystatic.com/013/0/7028242/il_fullxfull.422138105_9a3l.jpg,https://img0.etsystatic.com/013/0/7028242/il_fullxfull.422135784_z9tz.jpg,https://img2.etsystatic.com/016/0/7028242/il_fullxfull.422135934_az4w.jpg,,,,,,
INSTOCKSALE Champagne & Diamonds Satin Rose Brooch Bridal Bouquet,"Two of our favorite items - champagne and diamonds! Elegant and unusual, this simple champagne satin bouquet is truly unique. Skirted with organza and tulle, the large double face luxe satin champagne roses are embellished with one exquisite extra large rhinestone brooch. Very elegant. The handle is swathed in satin and studded with white pearls. You won't want to toss this bouquet! Please don't! Ask about a matching tossing bouquet and bout for your future husband. Ready to ship. 

See Shop Policies. Message Elegance On The Avenue for more information.",100,USD,1,"Weddings,Bouquet,bouquet,wedding_bouquet,bridal_bouquet,brooch_bouquet,champagne_bouquet,wedding,bridal_party,wedding_party,satin_rose,satin_rose_bouquet,bride,EleganceOnTheAvenue,weddings","brooch,tulle,organza,satin",https://img2.etsystatic.com/014/0/7028242/il_fullxfull.453659258_ilx1.jpg,https://img2.etsystatic.com/016/0/7028242/il_fullxfull.425761662_a5j4.jpg,https://img2.etsystatic.com/016/0/7028242/il_fullxfull.425761758_1w6q.jpg,https://img0.etsystatic.com/015/0/7028242/il_fullxfull.425761932_y69a.jpg,https://img0.etsystatic.com/011/0/7028242/il_fullxfull.425762580_2hbf.jpg,,,,,,
INSTOCKSALE Antique White Cascading Pearl Brooch Bouquet,"Graceful simplicity. Cascading pearl brooch. Large antique white hand-rolled and stemmed roses. Elegance at its understated best. Sixteen large antique white roses and one large beautiful pearl brooch cascading with rhinestones make this bouquet a simple, memorable statement. Not suitable for tossing! Ready -to-ship.

Customize to your wedding needs. See Shop Policies. Message Elegance On The Avenue for more information.",48,USD,1,"Weddings,Bouquet,white_bouquet,white_wedding,bridal_bouquet,white_bridal_bouquet,antique_white,wedding,wedding_party,brooch_bouquet,EleganceOnTheAvenue,simple_bouquet,rose_bouquet,rose,handmade_bouquet","satin,brooch",https://img1.etsystatic.com/013/0/7028242/il_fullxfull.453666057_bko1.jpg,https://img1.etsystatic.com/009/0/7028242/il_fullxfull.451701201_6zf3.jpg,https://img0.etsystatic.com/015/0/7028242/il_fullxfull.451697148_fjg3.jpg,https://img2.etsystatic.com/012/0/7028242/il_fullxfull.451697382_owdg.jpg,https://img3.etsystatic.com/010/0/7028242/il_fullxfull.451702291_ilxp.jpg,,,,,,
Black & Champagne Crystal Satin Bling Bridal Bouquet,"Exquisitely elegant champagne and black satin rose bouquet. Over 100 champagne crystals, glass bugle beads, rhinestones, and one  large topaz brooch sit atop the champagne roses, girded by the black taffeta and satin roses.  Each rose was hand rolled and stitched; each crystal, bugle bead, and embellishment was hand wired, assembled, and attached.  Seven and a half inches in diameter; ten inches tall. The handle is clad in black, then wrapped in sheer black ribbon, studded with black studs. Truly an heirloom piece; this bouquet glows. Not suitable for tossing. 

Customize to your wedding needs.  See shop polices. Message Elegance On The Avenue for more information.",265,USD,1,"Weddings,Bouquet,bouquet,bridal_bouquet,wedding_bouquet,black_bouquet,champagne_bouquet,rose_bouquet,EleganceOnTheAvenue,brooch_bouquet,bridal_party,wedding,bride,crystal_bouquet,bridesmaid","satin,taffeta,brooch,crystals,glass bugle beads",https://img1.etsystatic.com/011/0/7028242/il_fullxfull.421267045_az6k.jpg,https://img0.etsystatic.com/013/0/7028242/il_fullxfull.422135256_nea6.jpg,https://img1.etsystatic.com/013/0/7028242/il_fullxfull.422138105_9a3l.jpg,https://img0.etsystatic.com/013/0/7028242/il_fullxfull.422135784_z9tz.jpg,https://img2.etsystatic.com/016/0/7028242/il_fullxfull.422135934_az4w.jpg,,,,,,
INSTOCKSALE Champagne & Diamonds Satin Rose Brooch Bridal Bouquet,"Two of our favorite items - champagne and diamonds! Elegant and unusual, this simple champagne satin bouquet is truly unique. Skirted with organza and tulle, the large double face luxe satin champagne roses are embellished with one exquisite extra large rhinestone brooch. Very elegant. The handle is swathed in satin and studded with white pearls. You won't want to toss this bouquet! Please don't! Ask about a matching tossing bouquet and bout for your future husband. Ready to ship. 

See Shop Policies. Message Elegance On The Avenue for more information.",100,USD,1,"Weddings,Bouquet,bouquet,wedding_bouquet,bridal_bouquet,brooch_bouquet,champagne_bouquet,wedding,bridal_party,wedding_party,satin_rose,satin_rose_bouquet,bride,EleganceOnTheAvenue,weddings","brooch,tulle,organza,satin",https://img2.etsystatic.com/014/0/7028242/il_fullxfull.453659258_ilx1.jpg,https://img2.etsystatic.com/016/0/7028242/il_fullxfull.425761662_a5j4.jpg,https://img2.etsystatic.com/016/0/7028242/il_fullxfull.425761758_1w6q.jpg,https://img0.etsystatic.com/015/0/7028242/il_fullxfull.425761932_y69a.jpg,https://img0.etsystatic.com/011/0/7028242/il_fullxfull.425762580_2hbf.jpg,,,,,,
INSTOCKSALE Antique White Cascading Pearl Brooch Bouquet,"Graceful simplicity. Cascading pearl brooch. Large antique white hand-rolled and stemmed roses. Elegance at its understated best. Sixteen large antique white roses and one large beautiful pearl brooch cascading with rhinestones make this bouquet a simple, memorable statement. Not suitable for tossing! Ready -to-ship.

Customize to your wedding needs. See Shop Policies. Message Elegance On The Avenue for more information.",48,USD,1,"Weddings,Bouquet,white_bouquet,white_wedding,bridal_bouquet,white_bridal_bouquet,antique_white,wedding,wedding_party,brooch_bouquet,EleganceOnTheAvenue,simple_bouquet,rose_bouquet,rose,handmade_bouquet","satin,brooch",https://img1.etsystatic.com/013/0/7028242/il_fullxfull.453666057_bko1.jpg,https://img1.etsystatic.com/009/0/7028242/il_fullxfull.451701201_6zf3.jpg,https://img0.etsystatic.com/015/0/7028242/il_fullxfull.451697148_fjg3.jpg,https://img2.etsystatic.com/012/0/7028242/il_fullxfull.451697382_owdg.jpg,https://img3.etsystatic.com/010/0/7028242/il_fullxfull.451702291_ilxp.jpg,,,,,,
